epoch,train_loss,valid_loss
0,74.37255096435547,58.45875549316406
1,65.30069732666016,53.688846588134766
2,59.79759216308594,49.78392028808594
3,55.78178024291992,45.0947265625
4,52.60906219482422,43.097293853759766
5,50.325439453125,40.638118743896484
6,48.68267822265625,39.42036437988281
7,47.01285171508789,36.858970642089844
8,45.921531677246094,37.76005554199219
9,44.98773956298828,35.540767669677734
10,44.18222427368164,34.35639190673828
11,43.54513168334961,33.90916442871094
12,42.741947174072266,33.1030158996582
13,42.1453742980957,32.535396575927734
14,41.78826904296875,32.577674865722656
15,41.2898063659668,32.24827575683594
16,40.74168395996094,31.41323471069336
17,40.299747467041016,31.211978912353516
18,39.74958801269531,31.067928314208984
19,39.35294723510742,31.068355560302734
20,39.29892349243164,31.296926498413086
21,38.93515396118164,30.645286560058594
22,38.46944046020508,30.408512115478516
23,38.08807373046875,30.233478546142578
24,37.9806022644043,30.078144073486328
25,37.73573684692383,30.428356170654297
26,37.27702713012695,29.617504119873047
27,37.358158111572266,29.57667350769043
28,36.72843551635742,29.254514694213867
29,36.732452392578125,29.39857292175293
