epoch,train_loss,valid_loss
0,111.03443908691406,89.44451141357422
1,89.07682800292969,68.29035949707031
2,74.01704406738281,57.295204162597656
3,66.98307037353516,52.26436233520508
4,63.11876678466797,50.314476013183594
5,60.16463088989258,50.41161346435547
6,57.76262283325195,46.00282669067383
7,55.74364471435547,44.45924758911133
8,54.36307907104492,44.86722946166992
9,53.4782600402832,42.13820266723633
10,52.05410385131836,41.91765594482422
11,50.6591796875,40.30232620239258
12,49.901283264160156,40.276309967041016
13,48.900020599365234,39.99137496948242
14,48.15047836303711,38.582767486572266
15,47.61376190185547,37.9919548034668
16,47.148441314697266,37.2732048034668
17,46.532203674316406,36.52299880981445
18,46.16879653930664,36.557464599609375
19,45.556617736816406,38.0158576965332
20,45.412086486816406,36.527671813964844
21,44.63480758666992,36.749698638916016
22,44.32863998413086,35.8897590637207
23,43.84180450439453,35.83027648925781
24,43.60263442993164,35.66780471801758
25,43.02031707763672,34.987674713134766
26,42.48411178588867,35.646732330322266
27,42.19977569580078,34.76219940185547
28,41.76565170288086,35.133644104003906
29,41.638370513916016,34.269813537597656
