epoch,train_loss,valid_loss
0,91.2100830078125,68.72547912597656
1,73.49117279052734,56.47136688232422
2,65.68289947509766,50.326419830322266
3,61.38413619995117,47.545433044433594
4,58.68760299682617,45.40758514404297
5,56.59508514404297,42.77039337158203
6,54.97895431518555,42.77417755126953
7,53.697731018066406,41.20216751098633
8,52.589847564697266,40.085792541503906
9,51.60247039794922,39.513938903808594
10,50.76808547973633,38.51286697387695
11,49.98970413208008,38.01395034790039
12,49.27061080932617,38.10734939575195
13,48.600650787353516,38.47623825073242
14,48.01751708984375,36.98494338989258
15,47.66966247558594,37.73003387451172
16,47.12934494018555,36.4582405090332
17,46.862831115722656,36.22505569458008
18,46.467044830322266,36.82832717895508
19,46.2479133605957,36.58332061767578
20,46.002899169921875,36.223297119140625
21,45.56549072265625,35.38633346557617
22,45.225013732910156,35.549320220947266
23,45.127113342285156,36.560638427734375
24,44.95524978637695,35.42300796508789
25,44.67756271362305,35.45840835571289
26,44.410003662109375,35.50790023803711
27,44.270782470703125,35.334293365478516
28,44.059635162353516,35.44729995727539
29,43.88340759277344,35.16977310180664
