epoch,train_loss,valid_loss
0,83.6182861328125,54.22446823120117
1,56.5462760925293,41.25247573852539
2,51.40166473388672,41.31901931762695
3,49.18220901489258,39.089412689208984
4,47.155303955078125,37.40841293334961
5,45.80678176879883,36.63517379760742
6,44.69981002807617,35.75692367553711
7,43.56147384643555,34.84233093261719
8,42.558414459228516,33.94265365600586
9,41.7454719543457,34.235782623291016
10,41.17505645751953,33.12490463256836
11,40.64933395385742,33.52153015136719
12,40.078060150146484,32.450408935546875
13,39.6817512512207,32.29561233520508
14,39.32158279418945,32.592979431152344
15,39.06325149536133,31.930700302124023
16,38.73365020751953,32.02973937988281
17,38.59800338745117,31.879663467407227
18,38.308223724365234,31.370067596435547
19,38.12373352050781,30.96726417541504
20,38.232513427734375,31.577482223510742
21,37.91889572143555,31.16029167175293
22,37.773590087890625,31.043188095092773
23,37.51557540893555,30.915658950805664
24,37.59893798828125,30.639734268188477
25,37.38492965698242,30.26658821105957
26,37.25846481323242,30.872108459472656
27,37.23357009887695,31.269285202026367
28,37.43244171142578,30.48575782775879
29,37.03004837036133,30.44251251220703
