epoch,train_loss,valid_loss
0,70.17700958251953,58.34552764892578
1,58.75211715698242,46.71792221069336
2,47.5934944152832,35.61527633666992
3,41.85441589355469,33.19049835205078
4,40.07734680175781,32.302467346191406
5,38.088096618652344,30.794078826904297
6,36.47149658203125,29.187557220458984
7,35.58797836303711,28.809804916381836
8,35.172916412353516,27.754188537597656
9,34.50566864013672,28.496028900146484
10,34.21773910522461,28.03582000732422
11,33.67692565917969,28.17148208618164
12,33.52029037475586,28.06220817565918
13,33.066070556640625,27.00603485107422
14,32.745731353759766,27.698579788208008
15,32.38778305053711,26.55550193786621
16,32.12137222290039,26.990203857421875
17,31.7607479095459,26.354421615600586
18,31.43598175048828,26.580631256103516
19,31.354341506958008,26.829803466796875
20,31.13751983642578,26.779869079589844
21,30.862720489501953,25.69713020324707
22,30.78950309753418,26.041383743286133
23,30.38258934020996,26.213382720947266
24,30.0313663482666,25.449909210205078
25,29.910083770751953,25.711467742919922
26,29.815601348876953,25.203306198120117
27,29.66626739501953,25.909435272216797
28,29.367902755737305,25.255451202392578
29,29.280929565429688,25.469566345214844
