epoch,train_loss,valid_loss
0,124.05400848388672,106.3756332397461
1,107.2335205078125,87.90557098388672
2,92.42527770996094,74.1018295288086
3,82.42332458496094,65.19001007080078
4,76.96705627441406,61.6102180480957
5,73.35255432128906,57.900634765625
6,70.0634536743164,53.98622512817383
7,68.30005645751953,52.61306381225586
8,66.3977279663086,48.48764419555664
9,64.56774139404297,47.517276763916016
10,63.68988037109375,47.862640380859375
11,62.479122161865234,48.58417510986328
12,61.054325103759766,45.19561767578125
13,60.530521392822266,46.47464370727539
14,59.60759735107422,44.276363372802734
15,58.72342300415039,43.634521484375
16,57.8148193359375,43.20307159423828
17,57.006019592285156,42.71744918823242
18,56.264305114746094,42.259376525878906
19,55.8707275390625,40.9749870300293
20,55.276023864746094,42.88333511352539
21,54.52206039428711,42.66844940185547
22,53.81410598754883,40.944461822509766
23,53.46491622924805,41.380149841308594
24,52.8183708190918,40.7189826965332
25,52.172607421875,40.034488677978516
26,51.9537239074707,40.49068832397461
27,51.25131607055664,39.61077880859375
28,50.885807037353516,40.500389099121094
29,50.5783576965332,40.634456634521484
